label,spaceMission,launchPlaceName,country,spaceAgencyName,astroName,birthPlaceName,latLong
Soyuz TMA-14M,http://www.wikidata.org/entity/Q1633048,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Yelena Serova,Q4114698,"45.9648,63.3051"
Soyuz TMA-15,http://www.wikidata.org/entity/Q534559,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Frank De Winne,Ghent,"45.9648,63.3051"
Soyuz TMA-15,http://www.wikidata.org/entity/Q534559,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Robert Thirsk,New Westminster,"45.9648,63.3051"
Soyuz TMA-15,http://www.wikidata.org/entity/Q534559,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Roman Romanenko,Shchyolkovo,"45.9648,63.3051"
Soyuz TMA-15M,http://www.wikidata.org/entity/Q610681,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Anton Shkaplerov,Sevastopol,"45.9648,63.3051"
Soyuz TMA-15M,http://www.wikidata.org/entity/Q610681,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Samantha Cristoforetti,Milan,"45.9648,63.3051"
Soyuz TMA-15M,http://www.wikidata.org/entity/Q610681,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Terry W. Virts,Baltimore,"45.9648,63.3051"
Soyuz TMA-16,http://www.wikidata.org/entity/Q846318,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Guy Laliberté,Atlantic Ocean,"45.9648,63.3051"
Soyuz TMA-16,http://www.wikidata.org/entity/Q846318,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Jeffrey Williams,Superior,"45.9648,63.3051"
Soyuz TMA-16,http://www.wikidata.org/entity/Q846318,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Maksim Surayev,Chelyabinsk,"45.9648,63.3051"
Soyuz TMA-16M,http://www.wikidata.org/entity/Q2298031,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Andreas Mogensen,Copenhagen,"45.9648,63.3051"
Soyuz TMA-16M,http://www.wikidata.org/entity/Q2298031,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Aydyn Aimbetov,Q13648886,"45.9648,63.3051"
Soyuz TMA-16M,http://www.wikidata.org/entity/Q2298031,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Gennady Padalka,Krasnodar,"45.9648,63.3051"
Soyuz TMA-16M,http://www.wikidata.org/entity/Q2298031,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Mikhail Korniyenko,Syzran,"45.9648,63.3051"
Soyuz TMA-16M,http://www.wikidata.org/entity/Q2298031,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Scott Kelly,Orange,"45.9648,63.3051"
Soyuz TMA-17,http://www.wikidata.org/entity/Q728886,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Oleg Kotov,Simferopol,"45.9648,63.3051"
Soyuz TMA-17,http://www.wikidata.org/entity/Q728886,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Soichi Noguchi,Yokohama,"45.9648,63.3051"
Soyuz TMA-17,http://www.wikidata.org/entity/Q728886,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Timothy Creamer,Fort Huachuca,"45.9648,63.3051"
Soyuz TMA-17M,http://www.wikidata.org/entity/Q4308431,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Kimiya Yui,Nagano,"45.9648,63.3051"
Soyuz TMA-17M,http://www.wikidata.org/entity/Q4308431,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Kjell N. Lindgren,Taipei,"45.9648,63.3051"
Soyuz TMA-17M,http://www.wikidata.org/entity/Q4308431,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Oleg Kononenko,Türkmenabat,"45.9648,63.3051"
Soyuz TMA-18,http://www.wikidata.org/entity/Q857018,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Aleksandr Aleksandrovich Skvortsov,Shchyolkovo,"45.9648,63.3051"
Soyuz TMA-18,http://www.wikidata.org/entity/Q857018,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Mikhail Korniyenko,Syzran,"45.9648,63.3051"
Soyuz TMA-18,http://www.wikidata.org/entity/Q857018,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Tracy Caldwell Dyson,Arcadia,"45.9648,63.3051"
Soyuz TMA-18M,http://www.wikidata.org/entity/Q7572053,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Andreas Mogensen,Copenhagen,"45.9648,63.3051"
Soyuz TMA-18M,http://www.wikidata.org/entity/Q7572053,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Aydyn Aimbetov,Q13648886,"45.9648,63.3051"
Soyuz TMA-18M,http://www.wikidata.org/entity/Q7572053,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Mikhail Korniyenko,Syzran,"45.9648,63.3051"
Soyuz TMA-18M,http://www.wikidata.org/entity/Q7572053,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Scott Kelly,Orange,"45.9648,63.3051"
Soyuz TMA-18M,http://www.wikidata.org/entity/Q7572053,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Sergey Alexandrovich Volkov,Chuhuiv,"45.9648,63.3051"
Soyuz TMA-19,http://www.wikidata.org/entity/Q838546,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Douglas H. Wheelock,Binghamton,"45.9648,63.3051"
Soyuz TMA-19,http://www.wikidata.org/entity/Q838546,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Fyodor Yurchikhin,Batumi,"45.9648,63.3051"
Soyuz TMA-19,http://www.wikidata.org/entity/Q838546,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Shannon Walker,Houston,"45.9648,63.3051"
Soyuz TMA-19M,http://www.wikidata.org/entity/Q14288150,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Timothy Kopra,Austin,"45.9648,63.3051"
Soyuz TMA-19M,http://www.wikidata.org/entity/Q14288150,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Timothy Peake,Chichester,"45.9648,63.3051"
Soyuz TMA-19M,http://www.wikidata.org/entity/Q14288150,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Yuri Malenchenko,Svitlovodsk,"45.9648,63.3051"
